"","Compartment","Phylum","otu","mean","sd","se"
"22","bulk","p__Firmicutes","OTU_82",0.0138662087452843,0.00585946958629932,0.000690545113104764
"23","bulk","p__Fusobacteria","OTU_22775",1.52766619207117e-06,6.9007595458582e-06,8.13262311702356e-07
"24","bulk","p__Gemmatimonadetes","OTU_79",0.0249052123208595,0.00599930552700861,0.000707024936759621
"25","bulk","p__GOUTA4","OTU_2696",2.4181774457988e-05,3.81991221349862e-05,4.50180971617031e-06
"26","bulk","p__Gracilibacteria","OTU_6036",0.000147353058863828,9.62465680613715e-05,1.13427668236881e-05
"27","bulk","p__Hydrogenedentes","OTU_303",0.000911825774638808,0.000452809387179504,5.33640980432587e-05
"28","bulk","p__JL-ETNP-Z39","OTU_1420",8.94444110537784e-05,0.000138651608587718,1.63402487757998e-05
"29","bulk","p__Kazan-3B-09","OTU_14563",1.9243419670997e-06,1.3857810738987e-05,1.63315865765624e-06
"30","bulk","p__Latescibacteria","OTU_436",0.00578722852508438,0.00176064848968995,0.000207494414390936
"31","bulk","p__Lentisphaerae","OTU_2715",3.0869693101642e-05,2.9570357962921e-05,3.48490010628251e-06
"32","bulk","p__Marinimicrobia (SAR406 clade)","OTU_6810",1.6172052343657e-06,1.11866742820813e-05,1.31836220729748e-06
"33","bulk","p__Microgenomates","OTU_2097",0.000596850960919085,0.000305167561566919,3.59643420303553e-05
"34","bulk","p__Mollusca","OTU_2135",8.03243876903231e-05,0.000608161423929772,7.16725111528015e-05
"35","bulk","p__Nitrospirae","OTU_7",0.0168277261439953,0.00347992910078773,0.000410113577535902
"36","bulk","p__Omnitrophica","OTU_4521",0.000298342599142099,0.000191999533891968,2.26273620666111e-05
"37","bulk","p__Parcubacteria","OTU_2167",0.00154990913161595,0.000817559334977243,9.63502916307954e-05
"38","bulk","p__Parvarchaeota","OTU_22487",5.92142242947873e-07,3.53353607365836e-06,4.16431219875186e-07
"39","bulk","p__PAUC34f","OTU_8694",6.0867033333247e-06,1.64963777444772e-05,1.94411676135578e-06
"40","bulk","p__Planctomycetes","OTU_53",0.0385323712046909,0.00529696219684908,0.000624252981513463
"41","bulk","p__Proteobacteria","OTU_28",0.244812043868251,0.028071459896456,0.00330825327509837
"42","bulk","p__Saccharibacteria","OTU_940",0.000435517150477155,0.000597988133400923,7.04735773661465e-05
"43","bulk","p__SHA-109","OTU_2264",6.32050025834893e-05,5.37311339220836e-05,6.33227485952465e-06
"44","bulk","p__SM2F11","OTU_3307",0.000207625513937412,0.000161437401767157,1.90255802544489e-05
"45","bulk","p__Spirochaetae","OTU_1283",0.000133387816888358,0.000161901267117462,1.9080247310242e-05
